#    L    TT             EE             BB             TE             PP             TP             EP          
    55   0.150833E+04   0.141049E+00   0.000000E+00  -0.651996E+00   0.117396E-06   0.732272E-03  -0.714274E-06
    56   0.153010E+04   0.149389E+00   0.000000E+00  -0.892616E+00   0.116760E-06   0.717728E-03  -0.758702E-06
    57   0.155215E+04   0.157865E+00   0.000000E+00  -0.114276E+01   0.116115E-06   0.703559E-03  -0.739954E-06
    58   0.157448E+04   0.166483E+00   0.000000E+00  -0.140406E+01   0.115464E-06   0.689868E-03  -0.679844E-06
    59   0.159699E+04   0.175278E+00   0.000000E+00  -0.167817E+01   0.114805E-06   0.676761E-03  -0.600144E-06
    60   0.161969E+04   0.184297E+00   0.000000E+00  -0.196530E+01   0.114140E-06   0.664340E-03  -0.522583E-06
    61   0.164289E+04   0.193633E+00   0.000000E+00  -0.226529E+01   0.113469E-06   0.652664E-03  -0.464388E-06
    62   0.166600E+04   0.203275E+00   0.000000E+00  -0.257887E+01   0.112793E-06   0.641612E-03  -0.424884E-06
    63   0.168922E+04   0.213188E+00   0.000000E+00  -0.290658E+01   0.112113E-06   0.631015E-03  -0.398935E-06
    64   0.171283E+04   0.223389E+00   0.000000E+00  -0.324921E+01   0.111430E-06   0.620709E-03  -0.381413E-06
    65   0.173646E+04   0.233856E+00   0.000000E+00  -0.360694E+01   0.110744E-06   0.610526E-03  -0.367200E-06
    66   0.176039E+04   0.244527E+00   0.000000E+00  -0.397758E+01   0.110057E-06   0.600335E-03  -0.352567E-06
    67   0.178444E+04   0.255402E+00   0.000000E+00  -0.435848E+01   0.109368E-06   0.590147E-03  -0.339335E-06
    68   0.180891E+04   0.266519E+00   0.000000E+00  -0.474818E+01   0.108679E-06   0.580007E-03  -0.330705E-06
    69   0.183355E+04   0.277836E+00   0.000000E+00  -0.514515E+01   0.107990E-06   0.569961E-03  -0.329872E-06
    70   0.185849E+04   0.289392E+00   0.000000E+00  -0.555127E+01   0.107301E-06   0.560053E-03  -0.340032E-06
    71   0.188357E+04   0.301175E+00   0.000000E+00  -0.596908E+01   0.106612E-06   0.550329E-03  -0.363287E-06
    72   0.190885E+04   0.313159E+00   0.000000E+00  -0.639980E+01   0.105923E-06   0.540843E-03  -0.397404E-06
    73   0.193428E+04   0.325312E+00   0.000000E+00  -0.684381E+01   0.105235E-06   0.531647E-03  -0.439065E-06
    74   0.195992E+04   0.337626E+00   0.000000E+00  -0.730001E+01   0.104547E-06   0.522793E-03  -0.484956E-06
    75   0.198590E+04   0.350114E+00   0.000000E+00  -0.776672E+01   0.103860E-06   0.514335E-03  -0.531770E-06
    76   0.201217E+04   0.362778E+00   0.000000E+00  -0.824316E+01   0.103173E-06   0.506307E-03  -0.575981E-06
    77   0.203877E+04   0.375612E+00   0.000000E+00  -0.872933E+01   0.102487E-06   0.498668E-03  -0.613194E-06
    78   0.206572E+04   0.388645E+00   0.000000E+00  -0.922688E+01   0.101802E-06   0.491355E-03  -0.638799E-06
    79   0.209280E+04   0.401823E+00   0.000000E+00  -0.973230E+01   0.101119E-06   0.484307E-03  -0.648191E-06
    80   0.212013E+04   0.415153E+00   0.000000E+00  -0.102472E+02   0.100438E-06   0.477466E-03  -0.636768E-06
    81   0.214758E+04   0.428585E+00   0.000000E+00  -0.107724E+02   0.997583E-07   0.470775E-03  -0.602069E-06
    82   0.217523E+04   0.442142E+00   0.000000E+00  -0.113068E+02   0.990815E-07   0.464210E-03  -0.550189E-06
    83   0.220304E+04   0.455798E+00   0.000000E+00  -0.118503E+02   0.984073E-07   0.457753E-03  -0.489352E-06
    84   0.223111E+04   0.469548E+00   0.000000E+00  -0.124008E+02   0.977360E-07   0.451385E-03  -0.427776E-06
    85   0.225932E+04   0.483368E+00   0.000000E+00  -0.129595E+02   0.970677E-07   0.445087E-03  -0.373672E-06
    86   0.228776E+04   0.497268E+00   0.000000E+00  -0.135254E+02   0.964027E-07   0.438848E-03  -0.333490E-06
