#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.126166E+04   0.129690E+01   0.942454E-03   0.129690E+01   0.639301E-01  -0.287862E-06   0.942454E-03  -0.287862E-06   0.124014E-06
    44   0.128092E+04   0.119730E+01   0.922192E-03   0.119730E+01   0.689933E-01  -0.367816E-06   0.922192E-03  -0.367816E-06   0.123550E-06
    45   0.130055E+04   0.108641E+01   0.902455E-03   0.108641E+01   0.743004E-01  -0.400788E-06   0.902455E-03  -0.400788E-06   0.123063E-06
    46   0.132047E+04   0.962437E+00   0.883094E-03   0.962437E+00   0.798544E-01  -0.354337E-06   0.883094E-03  -0.354337E-06   0.122556E-06
    47   0.134054E+04   0.826068E+00   0.864132E-03   0.826068E+00   0.856521E-01  -0.254213E-06   0.864132E-03  -0.254213E-06   0.122029E-06
    48   0.136071E+04   0.681241E+00   0.845636E-03   0.681241E+00   0.916953E-01  -0.140710E-06   0.845636E-03  -0.140710E-06   0.121486E-06
    49   0.138105E+04   0.531306E+00   0.827673E-03   0.531306E+00   0.979638E-01  -0.541257E-07   0.827673E-03  -0.541257E-07   0.120927E-06
    50   0.140181E+04   0.372831E+00   0.810310E-03   0.372831E+00   0.104430E+00  -0.347547E-07   0.810310E-03  -0.347547E-07   0.120353E-06
    51   0.142277E+04   0.201092E+00   0.793588E-03   0.201092E+00   0.111064E+00  -0.109756E-06   0.793588E-03  -0.109756E-06   0.119766E-06
    52   0.144415E+04   0.118301E-01   0.777454E-03   0.118301E-01   0.117953E+00  -0.253738E-06   0.777454E-03  -0.253738E-06   0.119167E-06
    53   0.146554E+04  -0.197245E+00   0.761829E-03  -0.197245E+00   0.125252E+00  -0.428174E-06   0.761829E-03  -0.428174E-06   0.118558E-06
    54   0.148685E+04  -0.420457E+00   0.746632E-03  -0.420457E+00   0.132957E+00  -0.594536E-06   0.746632E-03  -0.594536E-06   0.117937E-06
    55   0.150829E+04  -0.652013E+00   0.731786E-03  -0.652013E+00   0.141049E+00  -0.714295E-06   0.731786E-03  -0.714295E-06   0.117308E-06
    56   0.153006E+04  -0.892634E+00   0.717241E-03  -0.892634E+00   0.149389E+00  -0.758980E-06   0.717241E-03  -0.758980E-06   0.116670E-06
    57   0.155210E+04  -0.114278E+01   0.703071E-03  -0.114278E+01   0.157865E+00  -0.740345E-06   0.703071E-03  -0.740345E-06   0.116025E-06
    58   0.157443E+04  -0.140408E+01   0.689380E-03  -0.140408E+01   0.166483E+00  -0.680199E-06   0.689380E-03  -0.680199E-06   0.115372E-06
    59   0.159694E+04  -0.167819E+01   0.676271E-03  -0.167819E+01   0.175278E+00  -0.600352E-06   0.676271E-03  -0.600352E-06   0.114712E-06
