#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.124960E+04   0.144776E+01   0.986163E-03   0.144776E+01   0.695101E-01  -0.142071E-06   0.986163E-03  -0.142071E-06   0.130531E-06
    44   0.126763E+04   0.134972E+01   0.964763E-03   0.134972E+01   0.750172E-01  -0.100403E-06   0.964763E-03  -0.100403E-06   0.130104E-06
    45   0.128604E+04   0.123734E+01   0.944150E-03   0.123734E+01   0.807720E-01  -0.102161E-06   0.944150E-03  -0.102161E-06   0.129653E-06
    46   0.130476E+04   0.110751E+01   0.924364E-03   0.110751E+01   0.867711E-01  -0.157106E-06   0.924364E-03  -0.157106E-06   0.129179E-06
    47   0.132366E+04   0.962013E+00   0.905300E-03   0.962013E+00   0.930170E-01  -0.252251E-06   0.905300E-03  -0.252251E-06   0.128684E-06
    48   0.134266E+04   0.806506E+00   0.886817E-03   0.806506E+00   0.995211E-01  -0.368921E-06   0.886817E-03  -0.368921E-06   0.128169E-06
    49   0.136184E+04   0.646050E+00   0.868775E-03   0.646050E+00   0.106272E+00  -0.488438E-06   0.868775E-03  -0.488438E-06   0.127636E-06
    50   0.138143E+04   0.478927E+00   0.851031E-03   0.478927E+00   0.113252E+00  -0.592127E-06   0.851031E-03  -0.592127E-06   0.127087E-06
    51   0.140121E+04   0.301590E+00   0.833494E-03   0.301590E+00   0.120436E+00  -0.665262E-06   0.833494E-03  -0.665262E-06   0.126524E-06
    52   0.142140E+04   0.108821E+00   0.816276E-03   0.108821E+00   0.127907E+00  -0.708913E-06   0.816276E-03  -0.708913E-06   0.125946E-06
    53   0.144160E+04  -0.103168E+00   0.799537E-03  -0.103168E+00   0.135808E+00  -0.728102E-06   0.799537E-03  -0.728102E-06   0.125356E-06
    54   0.146174E+04  -0.330195E+00   0.783436E-03  -0.330195E+00   0.144127E+00  -0.727848E-06   0.783436E-03  -0.727848E-06   0.124754E-06
    55   0.148204E+04  -0.567963E+00   0.768136E-03  -0.567963E+00   0.152836E+00  -0.713173E-06   0.768136E-03  -0.713173E-06   0.124140E-06
    56   0.150270E+04  -0.818264E+00   0.753743E-03  -0.818264E+00   0.161789E+00  -0.688628E-06   0.753743E-03  -0.688628E-06   0.123517E-06
    57   0.152366E+04  -0.108093E+01   0.740156E-03  -0.108093E+01   0.170879E+00  -0.656893E-06   0.740156E-03  -0.656893E-06   0.122885E-06
    58   0.154494E+04  -0.135654E+01   0.727220E-03  -0.135654E+01   0.180118E+00  -0.620178E-06   0.727220E-03  -0.620178E-06   0.122243E-06
    59   0.156639E+04  -0.164569E+01   0.714781E-03  -0.164569E+01   0.189548E+00  -0.580695E-06   0.714781E-03  -0.580695E-06   0.121593E-06
    60   0.158804E+04  -0.194756E+01   0.702683E-03  -0.194756E+01   0.199225E+00  -0.540654E-06   0.702683E-03  -0.540654E-06   0.120936E-06
    61   0.161019E+04  -0.226118E+01   0.690794E-03  -0.226118E+01   0.209245E+00  -0.502166E-06   0.690794E-03  -0.502166E-06   0.120271E-06
    62   0.163223E+04  -0.258753E+01   0.679066E-03  -0.258753E+01   0.219594E+00  -0.466936E-06   0.679066E-03  -0.466936E-06   0.119600E-06
    63   0.165440E+04  -0.292769E+01   0.667472E-03  -0.292769E+01   0.230228E+00  -0.436568E-06   0.667472E-03  -0.436568E-06   0.118924E-06
    64   0.167696E+04  -0.328295E+01   0.655987E-03  -0.328295E+01   0.241158E+00  -0.412667E-06   0.655987E-03  -0.412667E-06   0.118243E-06
    65   0.169956E+04  -0.365402E+01   0.644584E-03  -0.365402E+01   0.252355E+00  -0.396837E-06   0.644584E-03  -0.396837E-06   0.117559E-06
    66   0.172248E+04  -0.403909E+01   0.633258E-03  -0.403909E+01   0.263752E+00  -0.390680E-06   0.633258E-03  -0.390680E-06   0.116872E-06
    67   0.174555E+04  -0.443531E+01   0.622090E-03  -0.443531E+01   0.275349E+00  -0.395779E-06   0.622090E-03  -0.395779E-06   0.116184E-06
    68   0.176906E+04  -0.484090E+01   0.611181E-03  -0.484090E+01   0.287187E+00  -0.413713E-06   0.611181E-03  -0.413713E-06   0.115493E-06
    69   0.179277E+04  -0.525398E+01   0.600632E-03  -0.525398E+01   0.299228E+00  -0.446064E-06   0.600632E-03  -0.446064E-06   0.114802E-06
    70   0.181681E+04  -0.567609E+01   0.590546E-03  -0.567609E+01   0.311511E+00  -0.494410E-06   0.590546E-03  -0.494410E-06   0.114109E-06
    71   0.184103E+04  -0.610956E+01   0.580993E-03  -0.610956E+01   0.324028E+00  -0.558164E-06   0.580993E-03  -0.558164E-06   0.113417E-06
    72   0.186546E+04  -0.655580E+01   0.571927E-03  -0.655580E+01   0.336750E+00  -0.628059E-06   0.571927E-03  -0.628059E-06   0.112723E-06
    73   0.189006E+04  -0.701550E+01   0.563268E-03  -0.701550E+01   0.349645E+00  -0.692661E-06   0.563268E-03  -0.692661E-06   0.112030E-06
    74   0.191486E+04  -0.748787E+01   0.554938E-03  -0.748787E+01   0.362700E+00  -0.740536E-06   0.554938E-03  -0.740536E-06   0.111336E-06
    75   0.193998E+04  -0.797152E+01   0.546858E-03  -0.797152E+01   0.375927E+00  -0.760250E-06   0.546858E-03  -0.760250E-06   0.110642E-06
    76   0.196538E+04  -0.846588E+01   0.538959E-03  -0.846588E+01   0.389326E+00  -0.744357E-06   0.538959E-03  -0.744357E-06   0.109948E-06
