#    L    TT             EE             TE             PP             TP          
    75   0.198600E+04   0.350114E+00  -0.776744E+01   0.471575E+07   0.862327E+04
    76   0.201226E+04   0.362778E+00  -0.824391E+01   0.468611E+07   0.849069E+04
    77   0.203884E+04   0.375612E+00  -0.873011E+01   0.465643E+07   0.836450E+04
    78   0.206578E+04   0.388645E+00  -0.922769E+01   0.462675E+07   0.824368E+04
    79   0.209285E+04   0.401823E+00  -0.973313E+01   0.459709E+07   0.812722E+04
    80   0.212017E+04   0.415152E+00  -0.102481E+02   0.456745E+07   0.801409E+04
    81   0.214760E+04   0.428585E+00  -0.107732E+02   0.453785E+07   0.790341E+04
    82   0.217523E+04   0.442142E+00  -0.113077E+02   0.450832E+07   0.779475E+04
    83   0.220303E+04   0.455798E+00  -0.118512E+02   0.447886E+07   0.768780E+04
    84   0.223108E+04   0.469548E+00  -0.124017E+02   0.444948E+07   0.758226E+04
    85   0.225927E+04   0.483367E+00  -0.129605E+02   0.442019E+07   0.747784E+04
    86   0.228769E+04   0.497268E+00  -0.135264E+02   0.439101E+07   0.737432E+04
    87   0.231656E+04   0.511222E+00  -0.140986E+02   0.436195E+07   0.727190E+04
    88   0.234542E+04   0.525247E+00  -0.146772E+02   0.433300E+07   0.717087E+04
    89   0.237463E+04   0.539333E+00  -0.152634E+02   0.430418E+07   0.707151E+04
    90   0.240404E+04   0.553444E+00  -0.158544E+02   0.427548E+07   0.697411E+04
    91   0.243356E+04   0.567577E+00  -0.164508E+02   0.424693E+07   0.687890E+04
    92   0.246333E+04   0.581718E+00  -0.170521E+02   0.421851E+07   0.678588E+04
    93   0.249337E+04   0.595862E+00  -0.176582E+02   0.419023E+07   0.669498E+04
    94   0.252345E+04   0.609973E+00  -0.182678E+02   0.416210E+07   0.660614E+04
    95   0.255379E+04   0.624053E+00  -0.188817E+02   0.413412E+07   0.651930E+04
    96   0.258411E+04   0.638088E+00  -0.194993E+02   0.410629E+07   0.643437E+04
    97   0.261485E+04   0.652065E+00  -0.201199E+02   0.407860E+07   0.635132E+04
