#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.124900E+04   0.144960E+01   0.108422E-02   0.144960E+01   0.695101E-01  -0.139688E-06   0.108422E-02  -0.139688E-06   0.130479E-06
    44   0.126689E+04   0.135172E+01   0.106388E-02   0.135172E+01   0.750172E-01  -0.979320E-07   0.106388E-02  -0.979320E-07   0.130051E-06
    45   0.128518E+04   0.123951E+01   0.104430E-02   0.123951E+01   0.807720E-01  -0.996038E-07   0.104430E-02  -0.996038E-07   0.129598E-06
    46   0.130380E+04   0.110985E+01   0.102555E-02   0.110985E+01   0.867711E-01  -0.154464E-06   0.102555E-02  -0.154464E-06   0.129123E-06
    47   0.132261E+04   0.964525E+00   0.100753E-02   0.964525E+00   0.930170E-01  -0.249526E-06   0.100753E-02  -0.249526E-06   0.128627E-06
    48   0.134153E+04   0.809203E+00   0.990061E-03   0.809203E+00   0.995211E-01  -0.366113E-06   0.990061E-03  -0.366113E-06   0.128111E-06
    49   0.136064E+04   0.648954E+00   0.973006E-03   0.648954E+00   0.106272E+00  -0.485549E-06   0.973006E-03  -0.485549E-06   0.127577E-06
    50   0.138018E+04   0.482068E+00   0.956208E-03   0.482068E+00   0.113252E+00  -0.589160E-06   0.956208E-03  -0.589160E-06   0.127027E-06
    51   0.139992E+04   0.305002E+00   0.939564E-03   0.305002E+00   0.120436E+00  -0.662220E-06   0.939564E-03  -0.662220E-06   0.126462E-06
    52   0.142008E+04   0.112521E+00   0.923183E-03   0.112521E+00   0.127907E+00  -0.705803E-06   0.923183E-03  -0.705803E-06   0.125884E-06
    53   0.144028E+04  -0.991806E-01   0.907224E-03  -0.991806E-01   0.135808E+00  -0.724931E-06   0.907224E-03  -0.724931E-06   0.125292E-06
    54   0.146043E+04  -0.325944E+00   0.891848E-03  -0.325944E+00   0.144127E+00  -0.724629E-06   0.891848E-03  -0.724629E-06   0.124689E-06
    55   0.148074E+04  -0.563494E+00   0.877216E-03  -0.563494E+00   0.152836E+00  -0.709918E-06   0.877216E-03  -0.709918E-06   0.124074E-06
    56   0.150142E+04  -0.813637E+00   0.863437E-03  -0.813637E+00   0.161789E+00  -0.685354E-06   0.863437E-03  -0.685354E-06   0.123450E-06
    57   0.152242E+04  -0.107620E+01   0.850416E-03  -0.107620E+01   0.170879E+00  -0.653611E-06   0.850416E-03  -0.653611E-06   0.122816E-06
    58   0.154373E+04  -0.135177E+01   0.838009E-03  -0.135177E+01   0.180118E+00  -0.616895E-06   0.838009E-03  -0.616895E-06   0.122174E-06
    59   0.156523E+04  -0.164092E+01   0.826070E-03  -0.164092E+01   0.189548E+00  -0.577412E-06   0.826070E-03  -0.577412E-06   0.121523E-06
    60   0.158692E+04  -0.194282E+01   0.814455E-03  -0.194282E+01   0.199225E+00  -0.537368E-06   0.814455E-03  -0.537368E-06   0.120864E-06
    61   0.160911E+04  -0.225651E+01   0.803037E-03  -0.225651E+01   0.209245E+00  -0.498867E-06   0.803037E-03  -0.498867E-06   0.120199E-06
    62   0.163120E+04  -0.258294E+01   0.791759E-03  -0.258294E+01   0.219594E+00  -0.463612E-06   0.791759E-03  -0.463612E-06   0.119527E-06
    63   0.165341E+04  -0.292319E+01   0.780583E-03  -0.292319E+01   0.230228E+00  -0.433203E-06   0.780583E-03  -0.433203E-06   0.118849E-06
    64   0.167603E+04  -0.327854E+01   0.769472E-03  -0.327854E+01   0.241158E+00  -0.409243E-06   0.769472E-03  -0.409243E-06   0.118167E-06
    65   0.169867E+04  -0.364967E+01   0.758387E-03  -0.364967E+01   0.252355E+00  -0.393332E-06   0.758387E-03  -0.393332E-06   0.117482E-06
    66   0.172162E+04  -0.403477E+01   0.747316E-03  -0.403477E+01   0.263752E+00  -0.387069E-06   0.747316E-03  -0.387069E-06   0.116794E-06
    67   0.174474E+04  -0.443101E+01   0.736353E-03  -0.443101E+01   0.275349E+00  -0.392048E-06   0.736353E-03  -0.392048E-06   0.116105E-06
    68   0.176829E+04  -0.483663E+01   0.725617E-03  -0.483663E+01   0.287187E+00  -0.409859E-06   0.725617E-03  -0.409859E-06   0.115413E-06
    69   0.179205E+04  -0.524979E+01   0.715227E-03  -0.524979E+01   0.299228E+00  -0.442092E-06   0.715227E-03  -0.442092E-06   0.114721E-06
    70   0.181614E+04  -0.567205E+01   0.705302E-03  -0.567205E+01   0.311511E+00  -0.490339E-06   0.705302E-03  -0.490339E-06   0.114027E-06
    71   0.184042E+04  -0.610575E+01   0.695929E-03  -0.610575E+01   0.324028E+00  -0.554017E-06   0.695929E-03  -0.554017E-06   0.113334E-06
    72   0.186491E+04  -0.655227E+01   0.687051E-03  -0.655227E+01   0.336750E+00  -0.623853E-06   0.687051E-03  -0.623853E-06   0.112639E-06
    73   0.188958E+04  -0.701228E+01   0.678582E-03  -0.701228E+01   0.349645E+00  -0.688401E-06   0.678582E-03  -0.688401E-06   0.111945E-06
    74   0.191446E+04  -0.748495E+01   0.670431E-03  -0.748495E+01   0.362700E+00  -0.736216E-06   0.670431E-03  -0.736216E-06   0.111250E-06
