#           k/h    P           
   0.131631E-01   0.262420E+05
   0.134290E-01   0.262879E+05
   0.137003E-01   0.263237E+05
   0.139770E-01   0.263484E+05
   0.142594E-01   0.263611E+05
   0.145474E-01   0.263614E+05
   0.148413E-01   0.263512E+05
   0.151411E-01   0.263330E+05
   0.154470E-01   0.263091E+05
   0.157590E-01   0.262819E+05
   0.160774E-01   0.262526E+05
   0.164022E-01   0.262178E+05
   0.167335E-01   0.261733E+05
   0.170716E-01   0.261150E+05
   0.174164E-01   0.260387E+05
   0.177683E-01   0.259419E+05
   0.181272E-01   0.258266E+05
   0.184934E-01   0.256954E+05
   0.188670E-01   0.255513E+05
   0.192481E-01   0.253969E+05
   0.196370E-01   0.252339E+05
   0.200337E-01   0.250600E+05
   0.204384E-01   0.248729E+05
   0.208513E-01   0.246700E+05
   0.212725E-01   0.244488E+05
   0.217022E-01   0.242086E+05
   0.221406E-01   0.239518E+05
   0.225879E-01   0.236817E+05
   0.230442E-01   0.234013E+05
   0.235097E-01   0.231135E+05
   0.239847E-01   0.228204E+05
   0.244692E-01   0.225223E+05
   0.249635E-01   0.222194E+05
   0.254678E-01   0.219115E+05
   0.259823E-01   0.215988E+05
   0.265072E-01   0.212809E+05
   0.270426E-01   0.209567E+05
   0.275889E-01   0.206247E+05
   0.281463E-01   0.202838E+05
   0.287149E-01   0.199331E+05
   0.292949E-01   0.195725E+05
   0.298867E-01   0.192046E+05
   0.304905E-01   0.188322E+05
   0.311064E-01   0.184576E+05
   0.317348E-01   0.180833E+05
   0.323759E-01   0.177109E+05
   0.330299E-01   0.173410E+05
   0.336972E-01   0.169738E+05
   0.343779E-01   0.166097E+05
   0.350724E-01   0.162489E+05
   0.357809E-01   0.158920E+05
   0.365038E-01   0.155399E+05
   0.372412E-01   0.151935E+05
   0.379935E-01   0.148536E+05
   0.387610E-01   0.145209E+05
   0.395440E-01   0.141964E+05
   0.403429E-01   0.138814E+05
   0.411579E-01   0.135770E+05
   0.419893E-01   0.132843E+05
   0.428375E-01   0.130043E+05
   0.437029E-01   0.127373E+05
   0.445858E-01   0.124825E+05
   0.454865E-01   0.122390E+05
   0.464053E-01   0.120060E+05
   0.473428E-01   0.117829E+05
   0.482992E-01   0.115692E+05
   0.492749E-01   0.113648E+05
   0.502703E-01   0.111696E+05
   0.512858E-01   0.109835E+05
   0.523219E-01   0.108061E+05
   0.533789E-01   0.106362E+05
   0.544572E-01   0.104726E+05
   0.555573E-01   0.103142E+05
   0.566796E-01   0.101599E+05
   0.578246E-01   0.100090E+05
   0.589927E-01   0.986062E+04
   0.601845E-01   0.971415E+04
   0.614003E-01   0.956819E+04
   0.626407E-01   0.942072E+04
   0.639061E-01   0.926978E+04
   0.651971E-01   0.911405E+04
   0.665142E-01   0.895412E+04
   0.678578E-01   0.879100E+04
   0.692287E-01   0.862510E+04
   0.706272E-01   0.845259E+04
   0.720539E-01   0.826806E+04
   0.735095E-01   0.806725E+04
   0.749945E-01   0.785149E+04
   0.765095E-01   0.762468E+04
   0.780551E-01   0.739023E+04
   0.796319E-01   0.714976E+04
   0.812406E-01   0.690439E+04
   0.828817E-01   0.665561E+04
   0.845561E-01   0.640585E+04
   0.862642E-01   0.615742E+04
   0.880068E-01   0.591253E+04
   0.897847E-01   0.567325E+04
   0.915985E-01   0.544173E+04
   0.934489E-01   0.522069E+04
   0.953367E-01   0.501249E+04
   0.972626E-01   0.481907E+04
   0.992274E-01   0.464197E+04
   0.101232E+00   0.448241E+04
   0.103277E+00   0.434133E+04
   0.105363E+00   0.421797E+04
   0.107492E+00   0.411038E+04
   0.109663E+00   0.401678E+04
   0.111879E+00   0.393453E+04
   0.114139E+00   0.386043E+04
   0.116445E+00   0.379148E+04
   0.118797E+00   0.372491E+04
   0.121197E+00   0.365810E+04
   0.123645E+00   0.358856E+04
   0.126143E+00   0.351368E+04
   0.128691E+00   0.343105E+04
   0.131291E+00   0.333890E+04
   0.133943E+00   0.323611E+04
   0.136649E+00   0.312251E+04
   0.139409E+00   0.300018E+04
   0.142226E+00   0.287164E+04
   0.145099E+00   0.274059E+04
   0.148030E+00   0.261087E+04
   0.151020E+00   0.248581E+04
   0.154071E+00   0.236819E+04
   0.157184E+00   0.226027E+04
   0.160359E+00   0.216379E+04
   0.163598E+00   0.207980E+04
   0.166903E+00   0.200865E+04
   0.170275E+00   0.194945E+04
   0.173715E+00   0.190005E+04
   0.177224E+00   0.185742E+04
   0.180804E+00   0.181789E+04
   0.184457E+00   0.177800E+04
   0.188183E+00   0.173467E+04
   0.191985E+00   0.168564E+04
   0.195863E+00   0.162973E+04
   0.199820E+00   0.156713E+04
   0.203856E+00   0.149956E+04
   0.207974E+00   0.142965E+04
   0.212176E+00   0.136038E+04
   0.216462E+00   0.129447E+04
   0.220835E+00   0.123427E+04
   0.225296E+00   0.118156E+04
   0.229847E+00   0.113689E+04
   0.234490E+00   0.109941E+04
   0.239227E+00   0.106697E+04
   0.244060E+00   0.103720E+04
   0.248990E+00   0.100787E+04
   0.254020E+00   0.976936E+03
   0.259152E+00   0.942758E+03
   0.264387E+00   0.905049E+03
   0.269728E+00   0.865160E+03
   0.275177E+00   0.825112E+03
   0.280736E+00   0.786775E+03
   0.286407E+00   0.751656E+03
   0.292193E+00   0.720721E+03
   0.298096E+00   0.693845E+03
   0.304118E+00   0.669935E+03
   0.310261E+00   0.647581E+03
   0.316529E+00   0.625314E+03
   0.322923E+00   0.602023E+03
   0.329447E+00   0.577550E+03
   0.336102E+00   0.552476E+03
   0.342892E+00   0.527732E+03
   0.349819E+00   0.504485E+03
   0.356885E+00   0.483428E+03
   0.364095E+00   0.464378E+03
   0.371450E+00   0.446825E+03
   0.378954E+00   0.430020E+03
   0.386609E+00   0.413198E+03
   0.394419E+00   0.396172E+03
   0.402387E+00   0.379159E+03
   0.410516E+00   0.362633E+03
   0.418809E+00   0.347111E+03
   0.427269E+00   0.332726E+03
   0.435901E+00   0.319306E+03
   0.444706E+00   0.306525E+03
   0.453690E+00   0.294137E+03
   0.462855E+00   0.282119E+03
   0.472206E+00   0.270475E+03
   0.481745E+00   0.259209E+03
   0.491477E+00   0.248320E+03
   0.501405E+00   0.237807E+03
   0.511534E+00   0.227669E+03
   0.521868E+00   0.217903E+03
   0.532411E+00   0.208504E+03
   0.543166E+00   0.199467E+03
   0.554139E+00   0.190785E+03
   0.565333E+00   0.182453E+03
   0.576753E+00   0.174463E+03
   0.588404E+00   0.166806E+03
   0.600291E+00   0.159475E+03
   0.612418E+00   0.152460E+03
   0.624789E+00   0.145753E+03
   0.637411E+00   0.139341E+03
   0.650288E+00   0.133210E+03
   0.663424E+00   0.127347E+03
   0.676826E+00   0.121740E+03
   0.690499E+00   0.116376E+03
   0.704448E+00   0.111244E+03
   0.718679E+00   0.106334E+03
   0.733197E+00   0.101636E+03
   0.748009E+00   0.971391E+02
   0.763119E+00   0.928354E+02
   0.778536E+00   0.887160E+02
   0.794263E+00   0.847726E+02
   0.810308E+00   0.809974E+02
   0.826677E+00   0.773829E+02
   0.843378E+00   0.739223E+02
   0.860415E+00   0.706087E+02
   0.877797E+00   0.674359E+02
   0.895529E+00   0.643983E+02
   0.913620E+00   0.614908E+02
   0.932076E+00   0.587083E+02
   0.950906E+00   0.560459E+02
   0.970115E+00   0.534989E+02
   0.989713E+00   0.510627E+02
   0.100971E+01   0.487328E+02
   0.103010E+01   0.465050E+02
   0.105091E+01   0.443752E+02
   0.107214E+01   0.423394E+02
   0.109380E+01   0.403937E+02
   0.111590E+01   0.385344E+02
   0.113844E+01   0.367580E+02
   0.116144E+01   0.350609E+02
   0.118490E+01   0.334400E+02
   0.120884E+01   0.318919E+02
   0.123326E+01   0.304136E+02
   0.125817E+01   0.290020E+02
   0.128359E+01   0.276540E+02
   0.130952E+01   0.263670E+02
   0.133597E+01   0.251382E+02
   0.136296E+01   0.239651E+02
   0.139049E+01   0.228451E+02
   0.141858E+01   0.217759E+02
   0.144724E+01   0.207552E+02
   0.147648E+01   0.197810E+02
   0.150630E+01   0.188510E+02
   0.153673E+01   0.179635E+02
   0.156778E+01   0.171164E+02
   0.159945E+01   0.163081E+02
   0.163176E+01   0.155367E+02
   0.166472E+01   0.148006E+02
   0.169835E+01   0.140982E+02
   0.173266E+01   0.134281E+02
   0.176766E+01   0.127890E+02
   0.180337E+01   0.121794E+02
   0.183980E+01   0.115982E+02
   0.187697E+01   0.110440E+02
   0.191489E+01   0.105158E+02
   0.195357E+01   0.100123E+02
   0.199304E+01   0.953255E+01
   0.203330E+01   0.907541E+01
   0.207437E+01   0.863990E+01
   0.211628E+01   0.822505E+01
   0.215903E+01   0.782993E+01
   0.220265E+01   0.745365E+01
   0.224714E+01   0.709534E+01
   0.229254E+01   0.675420E+01
   0.233885E+01   0.642942E+01
