#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.126171E+04   0.129701E+01   0.942348E-03   0.129701E+01   0.639300E-01  -0.285827E-06   0.942348E-03  -0.285827E-06   0.124018E-06
    44   0.128098E+04   0.119741E+01   0.922085E-03   0.119741E+01   0.689933E-01  -0.365639E-06   0.922085E-03  -0.365639E-06   0.123554E-06
    45   0.130062E+04   0.108651E+01   0.902346E-03   0.108651E+01   0.743004E-01  -0.398474E-06   0.902346E-03  -0.398474E-06   0.123067E-06
    46   0.132055E+04   0.962536E+00   0.882982E-03   0.962536E+00   0.798544E-01  -0.351902E-06   0.882982E-03  -0.351902E-06   0.122559E-06
    47   0.134063E+04   0.826161E+00   0.864018E-03   0.826161E+00   0.856520E-01  -0.251676E-06   0.864018E-03  -0.251676E-06   0.122033E-06
    48   0.136080E+04   0.681328E+00   0.845519E-03   0.681328E+00   0.916952E-01  -0.138097E-06   0.845519E-03  -0.138097E-06   0.121490E-06
    49   0.138115E+04   0.531386E+00   0.827554E-03   0.531386E+00   0.979637E-01  -0.514630E-07   0.827554E-03  -0.514630E-07   0.120930E-06
    50   0.140192E+04   0.372902E+00   0.810187E-03   0.372902E+00   0.104430E+00  -0.320741E-07   0.810187E-03  -0.320741E-07   0.120357E-06
    51   0.142289E+04   0.201152E+00   0.793463E-03   0.201152E+00   0.111064E+00  -0.107090E-06   0.793463E-03  -0.107090E-06   0.119770E-06
    52   0.144427E+04   0.118777E-01   0.777326E-03   0.118777E-01   0.117953E+00  -0.251115E-06   0.777326E-03  -0.251115E-06   0.119171E-06
    53   0.146567E+04  -0.197212E+00   0.761697E-03  -0.197212E+00   0.125252E+00  -0.425612E-06   0.761697E-03  -0.425612E-06   0.118561E-06
    54   0.148700E+04  -0.420440E+00   0.746498E-03  -0.420440E+00   0.132957E+00  -0.592046E-06   0.746498E-03  -0.592046E-06   0.117941E-06
    55   0.150844E+04  -0.652015E+00   0.731648E-03  -0.652015E+00   0.141049E+00  -0.711881E-06   0.731648E-03  -0.711881E-06   0.117311E-06
    56   0.153022E+04  -0.892656E+00   0.717100E-03  -0.892656E+00   0.149389E+00  -0.756638E-06   0.717100E-03  -0.756638E-06   0.116674E-06
    57   0.155227E+04  -0.114283E+01   0.702927E-03  -0.114283E+01   0.157865E+00  -0.738062E-06   0.702927E-03  -0.738062E-06   0.116028E-06
    58   0.157461E+04  -0.140415E+01   0.689232E-03  -0.140415E+01   0.166483E+00  -0.677957E-06   0.689232E-03  -0.677957E-06   0.115375E-06
    59   0.159712E+04  -0.167829E+01   0.676121E-03  -0.167829E+01   0.175278E+00  -0.598123E-06   0.676121E-03  -0.598123E-06   0.114715E-06
    60   0.161982E+04  -0.196545E+01   0.663696E-03  -0.196545E+01   0.184297E+00  -0.520364E-06   0.663696E-03  -0.520364E-06   0.114048E-06
    61   0.164303E+04  -0.226548E+01   0.652016E-03  -0.226548E+01   0.193633E+00  -0.461990E-06   0.652016E-03  -0.461990E-06   0.113376E-06
    62   0.166614E+04  -0.257909E+01   0.640960E-03  -0.257909E+01   0.203275E+00  -0.422345E-06   0.640960E-03  -0.422345E-06   0.112699E-06
    63   0.168936E+04  -0.290683E+01   0.630361E-03  -0.290683E+01   0.213188E+00  -0.396285E-06   0.630361E-03  -0.396285E-06   0.112017E-06
