#    L    TT             EE             TE             PP             TP          
    75   0.198590E+04   0.350114E+00  -0.776672E+01   0.472079E+07   0.863463E+04
    76   0.201217E+04   0.362778E+00  -0.824316E+01   0.469120E+07   0.850207E+04
    77   0.203877E+04   0.375612E+00  -0.872933E+01   0.466159E+07   0.837590E+04
    78   0.206572E+04   0.388645E+00  -0.922688E+01   0.463196E+07   0.825510E+04
    79   0.209280E+04   0.401823E+00  -0.973230E+01   0.460235E+07   0.813866E+04
    80   0.212013E+04   0.415153E+00  -0.102472E+02   0.457276E+07   0.802556E+04
    81   0.214758E+04   0.428585E+00  -0.107724E+02   0.454322E+07   0.791491E+04
    82   0.217523E+04   0.442142E+00  -0.113068E+02   0.451374E+07   0.780629E+04
    83   0.220304E+04   0.455798E+00  -0.118503E+02   0.448433E+07   0.769938E+04
    84   0.223111E+04   0.469548E+00  -0.124008E+02   0.445500E+07   0.759388E+04
    85   0.225932E+04   0.483368E+00  -0.129595E+02   0.442576E+07   0.748949E+04
    86   0.228776E+04   0.497268E+00  -0.135254E+02   0.439663E+07   0.738599E+04
    87   0.231665E+04   0.511222E+00  -0.140977E+02   0.436761E+07   0.728358E+04
    88   0.234554E+04   0.525248E+00  -0.146762E+02   0.433871E+07   0.718255E+04
    89   0.237478E+04   0.539333E+00  -0.152625E+02   0.430993E+07   0.708319E+04
    90   0.240421E+04   0.553444E+00  -0.158535E+02   0.428129E+07   0.698579E+04
    91   0.243376E+04   0.567577E+00  -0.164500E+02   0.425277E+07   0.689058E+04
    92   0.246357E+04   0.581718E+00  -0.170513E+02   0.422440E+07   0.679755E+04
    93   0.249364E+04   0.595862E+00  -0.176575E+02   0.419617E+07   0.670664E+04
    94   0.252375E+04   0.609973E+00  -0.182671E+02   0.416808E+07   0.661779E+04
    95   0.255413E+04   0.624053E+00  -0.188812E+02   0.414014E+07   0.653092E+04
    96   0.258449E+04   0.638088E+00  -0.194989E+02   0.411235E+07   0.644599E+04
    97   0.261526E+04   0.652066E+00  -0.201196E+02   0.408471E+07   0.636291E+04
    98   0.264623E+04   0.665980E+00  -0.207413E+02   0.405722E+07   0.628163E+04
    99   0.267726E+04   0.679795E+00  -0.213670E+02   0.402989E+07   0.620208E+04
   100   0.270856E+04   0.693512E+00  -0.219922E+02   0.400272E+07   0.612420E+04
   101   0.273999E+04   0.707194E+00  -0.226202E+02   0.397571E+07   0.604793E+04
   102   0.277193E+04   0.720692E+00  -0.232487E+02   0.394886E+07   0.597319E+04
   103   0.280378E+04   0.734083E+00  -0.238786E+02   0.392218E+07   0.589992E+04
   104   0.283583E+04   0.747368E+00  -0.245070E+02   0.389567E+07   0.582806E+04
   105   0.286803E+04   0.760475E+00  -0.251356E+02   0.386933E+07   0.575755E+04
   106   0.290044E+04   0.773479E+00  -0.257635E+02   0.384317E+07   0.568831E+04
   107   0.293277E+04   0.786234E+00  -0.263895E+02   0.381718E+07   0.562029E+04
   108   0.296547E+04   0.798815E+00  -0.270145E+02   0.379138E+07   0.555343E+04
   109   0.299831E+04   0.811151E+00  -0.276369E+02   0.376575E+07   0.548764E+04
   110   0.303123E+04   0.823242E+00  -0.282554E+02   0.374032E+07   0.542288E+04
   111   0.306430E+04   0.835164E+00  -0.288717E+02   0.371506E+07   0.535908E+04
   112   0.309751E+04   0.846843E+00  -0.294848E+02   0.369000E+07   0.529624E+04
   113   0.313095E+04   0.858281E+00  -0.300934E+02   0.366512E+07   0.523434E+04
   114   0.316446E+04   0.869401E+00  -0.306968E+02   0.364043E+07   0.517338E+04
   115   0.319819E+04   0.880354E+00  -0.312948E+02   0.361592E+07   0.511335E+04
   116   0.323192E+04   0.890917E+00  -0.318868E+02   0.359161E+07   0.505426E+04
   117   0.326594E+04   0.901163E+00  -0.324719E+02   0.356747E+07   0.499608E+04
   118   0.330011E+04   0.911243E+00  -0.330510E+02   0.354353E+07   0.493882E+04
   119   0.333426E+04   0.921007E+00  -0.336219E+02   0.351977E+07   0.488248E+04
   120   0.336856E+04   0.930308E+00  -0.341843E+02   0.349619E+07   0.482704E+04
   121   0.340285E+04   0.939442E+00  -0.347385E+02   0.347280E+07   0.477250E+04
   122   0.343721E+04   0.948112E+00  -0.352836E+02   0.344960E+07   0.471886E+04
   123   0.347163E+04   0.956394E+00  -0.358197E+02   0.342658E+07   0.466610E+04
   124   0.350611E+04   0.964361E+00  -0.363437E+02   0.340374E+07   0.461423E+04
   125   0.354058E+04   0.971940E+00  -0.368579E+02   0.338109E+07   0.456324E+04
   126   0.357511E+04   0.979205E+00  -0.373614E+02   0.335862E+07   0.451312E+04
   127   0.360962E+04   0.986007E+00  -0.378537E+02   0.333634E+07   0.446387E+04
   128   0.364413E+04   0.992496E+00  -0.383339E+02   0.331424E+07   0.441548E+04
   129   0.367869E+04   0.998523E+00  -0.388012E+02   0.329233E+07   0.436795E+04
   130   0.371323E+04   0.100409E+01  -0.392550E+02   0.327060E+07   0.432126E+04
   131   0.374775E+04   0.100934E+01  -0.396967E+02   0.324905E+07   0.427542E+04
   132   0.378233E+04   0.101413E+01  -0.401234E+02   0.322768E+07   0.423041E+04
   133   0.381683E+04   0.101853E+01  -0.405372E+02   0.320650E+07   0.418620E+04
   134   0.385131E+04   0.102254E+01  -0.409339E+02   0.318549E+07   0.414278E+04
   135   0.388577E+04   0.102608E+01  -0.413164E+02   0.316466E+07   0.410012E+04
   136   0.392008E+04   0.102915E+01  -0.416810E+02   0.314401E+07   0.405821E+04
   137   0.395438E+04   0.103182E+01  -0.420300E+02   0.312354E+07   0.401703E+04
   138   0.398859E+04   0.103402E+01  -0.423620E+02   0.310324E+07   0.397656E+04
   139   0.402258E+04   0.103590E+01  -0.426761E+02   0.308311E+07   0.393678E+04
   140   0.405664E+04   0.103723E+01  -0.429733E+02   0.306316E+07   0.389767E+04
   141   0.409047E+04   0.103808E+01  -0.432513E+02   0.304337E+07   0.385921E+04
   142   0.412429E+04   0.103853E+01  -0.435109E+02   0.302376E+07   0.382137E+04
   143   0.415805E+04   0.103858E+01  -0.437521E+02   0.300431E+07   0.378415E+04
   144   0.419158E+04   0.103814E+01  -0.439742E+02   0.298503E+07   0.374753E+04
   145   0.422496E+04   0.103737E+01  -0.441766E+02   0.296592E+07   0.371147E+04
   146   0.425843E+04   0.103604E+01  -0.443591E+02   0.294697E+07   0.367597E+04
