#           k/h    P           
   0.420980E-02   0.157769E+05
   0.429484E-02   0.159958E+05
   0.438160E-02   0.162157E+05
   0.447012E-02   0.164367E+05
   0.456042E-02   0.166586E+05
   0.465255E-02   0.168813E+05
   0.474653E-02   0.171048E+05
   0.484242E-02   0.173290E+05
   0.494024E-02   0.175538E+05
   0.504004E-02   0.177791E+05
   0.514186E-02   0.180047E+05
   0.524573E-02   0.182306E+05
   0.535170E-02   0.184568E+05
   0.545981E-02   0.186829E+05
   0.557011E-02   0.189091E+05
   0.568263E-02   0.191350E+05
   0.579743E-02   0.193607E+05
   0.591455E-02   0.195860E+05
   0.603403E-02   0.198107E+05
   0.615592E-02   0.200347E+05
   0.628028E-02   0.202579E+05
   0.640715E-02   0.204801E+05
   0.653658E-02   0.207012E+05
   0.666863E-02   0.209211E+05
   0.680335E-02   0.211395E+05
   0.694078E-02   0.213562E+05
   0.708100E-02   0.215713E+05
   0.722404E-02   0.217844E+05
   0.736998E-02   0.219953E+05
   0.751886E-02   0.222040E+05
   0.767075E-02   0.224102E+05
   0.782571E-02   0.226137E+05
   0.798380E-02   0.228144E+05
   0.814509E-02   0.230120E+05
   0.830963E-02   0.232063E+05
   0.847750E-02   0.233971E+05
   0.864875E-02   0.235842E+05
   0.882347E-02   0.237675E+05
   0.900171E-02   0.239466E+05
   0.918356E-02   0.241214E+05
   0.936908E-02   0.242915E+05
   0.955835E-02   0.244568E+05
   0.975144E-02   0.246171E+05
   0.994843E-02   0.247721E+05
   0.101494E-01   0.249215E+05
   0.103544E-01   0.250652E+05
   0.105636E-01   0.252028E+05
   0.107770E-01   0.253342E+05
   0.109947E-01   0.254590E+05
   0.112168E-01   0.255770E+05
   0.114434E-01   0.256878E+05
   0.116746E-01   0.257911E+05
   0.119104E-01   0.258867E+05
   0.121510E-01   0.259744E+05
   0.123965E-01   0.260542E+05
   0.126469E-01   0.261258E+05
   0.129024E-01   0.261893E+05
   0.131631E-01   0.262445E+05
   0.134290E-01   0.262905E+05
   0.137003E-01   0.263264E+05
   0.139770E-01   0.263513E+05
   0.142594E-01   0.263643E+05
   0.145474E-01   0.263651E+05
   0.148413E-01   0.263554E+05
   0.151411E-01   0.263375E+05
   0.154470E-01   0.263136E+05
   0.157590E-01   0.262859E+05
   0.160774E-01   0.262554E+05
   0.164022E-01   0.262189E+05
   0.167335E-01   0.261727E+05
   0.170716E-01   0.261127E+05
   0.174164E-01   0.260352E+05
   0.177683E-01   0.259377E+05
   0.181272E-01   0.258221E+05
   0.184934E-01   0.256908E+05
   0.188670E-01   0.255464E+05
   0.192481E-01   0.253914E+05
   0.196370E-01   0.252274E+05
   0.200337E-01   0.250524E+05
   0.204384E-01   0.248644E+05
   0.208513E-01   0.246612E+05
   0.212725E-01   0.244407E+05
   0.217022E-01   0.242021E+05
   0.221406E-01   0.239477E+05
   0.225879E-01   0.236800E+05
   0.230442E-01   0.234016E+05
   0.235097E-01   0.231152E+05
   0.239847E-01   0.228224E+05
   0.244692E-01   0.225239E+05
   0.249635E-01   0.222199E+05
   0.254678E-01   0.219109E+05
   0.259823E-01   0.215971E+05
   0.265072E-01   0.212782E+05
   0.270426E-01   0.209529E+05
   0.275889E-01   0.206194E+05
   0.281463E-01   0.202765E+05
   0.287149E-01   0.199228E+05
   0.292949E-01   0.195584E+05
   0.298867E-01   0.191862E+05
   0.304905E-01   0.188093E+05
   0.311064E-01   0.184306E+05
   0.317348E-01   0.180529E+05
   0.323759E-01   0.176779E+05
   0.330299E-01   0.173059E+05
   0.336972E-01   0.169368E+05
   0.343779E-01   0.165708E+05
   0.350724E-01   0.162079E+05
   0.357809E-01   0.158485E+05
   0.365038E-01   0.154938E+05
   0.372412E-01   0.151449E+05
   0.379935E-01   0.148029E+05
   0.387610E-01   0.144688E+05
   0.395440E-01   0.141433E+05
   0.403429E-01   0.138272E+05
   0.411579E-01   0.135211E+05
   0.419893E-01   0.132254E+05
   0.428375E-01   0.129407E+05
   0.437029E-01   0.126673E+05
   0.445858E-01   0.124054E+05
   0.454865E-01   0.121551E+05
   0.464053E-01   0.119167E+05
   0.473428E-01   0.116901E+05
   0.482992E-01   0.114752E+05
   0.492749E-01   0.112716E+05
   0.502703E-01   0.110787E+05
   0.512858E-01   0.108962E+05
   0.523219E-01   0.107234E+05
   0.533789E-01   0.105592E+05
   0.544572E-01   0.104025E+05
   0.555573E-01   0.102522E+05
   0.566796E-01   0.101073E+05
   0.578246E-01   0.996628E+04
   0.589927E-01   0.982781E+04
   0.601845E-01   0.969058E+04
   0.614003E-01   0.955274E+04
   0.626407E-01   0.941192E+04
