#    L    TT             EE             TE             PP             TP          
    75   0.198580E+04   0.350114E+00  -0.776676E+01   0.471567E+07   0.862647E+04
    76   0.201206E+04   0.362778E+00  -0.824320E+01   0.468603E+07   0.849393E+04
    77   0.203866E+04   0.375612E+00  -0.872937E+01   0.465636E+07   0.836778E+04
    78   0.206560E+04   0.388645E+00  -0.922693E+01   0.462669E+07   0.824701E+04
    79   0.209268E+04   0.401823E+00  -0.973234E+01   0.459702E+07   0.813059E+04
    80   0.212001E+04   0.415153E+00  -0.102473E+02   0.456739E+07   0.801752E+04
    81   0.214745E+04   0.428585E+00  -0.107724E+02   0.453780E+07   0.790691E+04
    82   0.217510E+04   0.442142E+00  -0.113069E+02   0.450827E+07   0.779831E+04
    83   0.220290E+04   0.455798E+00  -0.118503E+02   0.447881E+07   0.769143E+04
    84   0.223097E+04   0.469548E+00  -0.124008E+02   0.444944E+07   0.758597E+04
    85   0.225917E+04   0.483368E+00  -0.129596E+02   0.442015E+07   0.748161E+04
    86   0.228761E+04   0.497268E+00  -0.135255E+02   0.439098E+07   0.737815E+04
    87   0.231649E+04   0.511222E+00  -0.140977E+02   0.436192E+07   0.727578E+04
    88   0.234537E+04   0.525248E+00  -0.146763E+02   0.433297E+07   0.717479E+04
    89   0.237461E+04   0.539333E+00  -0.152625E+02   0.430415E+07   0.707546E+04
    90   0.240403E+04   0.553444E+00  -0.158536E+02   0.427546E+07   0.697810E+04
    91   0.243357E+04   0.567577E+00  -0.164500E+02   0.424691E+07   0.688293E+04
    92   0.246338E+04   0.581718E+00  -0.170513E+02   0.421850E+07   0.678994E+04
    93   0.249344E+04   0.595862E+00  -0.176575E+02   0.419023E+07   0.669907E+04
    94   0.252355E+04   0.609973E+00  -0.182672E+02   0.416210E+07   0.661026E+04
    95   0.255392E+04   0.624053E+00  -0.188812E+02   0.413412E+07   0.652344E+04
    96   0.258427E+04   0.638088E+00  -0.194989E+02   0.410629E+07   0.643854E+04
    97   0.261504E+04   0.652066E+00  -0.201197E+02   0.407861E+07   0.635551E+04
    98   0.264600E+04   0.665980E+00  -0.207413E+02   0.405109E+07   0.627427E+04
    99   0.267702E+04   0.679795E+00  -0.213670E+02   0.402372E+07   0.619477E+04
   100   0.270831E+04   0.693512E+00  -0.219923E+02   0.399652E+07   0.611693E+04
   101   0.273974E+04   0.707194E+00  -0.226202E+02   0.396947E+07   0.604070E+04
