#    L    TT             EE             TE             PP             TP          
    75   0.193761E+04   0.375927E+00  -0.801752E+01   0.502908E+07   0.918720E+04
    76   0.196286E+04   0.389326E+00  -0.850919E+01   0.499925E+07   0.905660E+04
    77   0.198842E+04   0.402889E+00  -0.901131E+01   0.496937E+07   0.892821E+04
    78   0.201432E+04   0.416641E+00  -0.952528E+01   0.493944E+07   0.880146E+04
    79   0.204039E+04   0.430528E+00  -0.100473E+02   0.490949E+07   0.867578E+04
    80   0.206673E+04   0.444553E+00  -0.105787E+02   0.487954E+07   0.855061E+04
    81   0.209324E+04   0.458667E+00  -0.111200E+02   0.484961E+07   0.842562E+04
    82   0.212000E+04   0.472890E+00  -0.116701E+02   0.481971E+07   0.830136E+04
    83   0.214696E+04   0.487197E+00  -0.122287E+02   0.478986E+07   0.817864E+04
    84   0.217418E+04   0.501586E+00  -0.127937E+02   0.476006E+07   0.805825E+04
    85   0.220155E+04   0.516032E+00  -0.133663E+02   0.473033E+07   0.794100E+04
    86   0.222914E+04   0.530546E+00  -0.139454E+02   0.470069E+07   0.782749E+04
    87   0.225717E+04   0.545099E+00  -0.145301E+02   0.467114E+07   0.771760E+04
    88   0.228519E+04   0.559706E+00  -0.151206E+02   0.464169E+07   0.761102E+04
    89   0.231357E+04   0.574351E+00  -0.157185E+02   0.461234E+07   0.750745E+04
    90   0.234215E+04   0.588999E+00  -0.163210E+02   0.458311E+07   0.740657E+04
    91   0.237085E+04   0.603641E+00  -0.169288E+02   0.455399E+07   0.730813E+04
    92   0.239983E+04   0.618263E+00  -0.175412E+02   0.452500E+07   0.721201E+04
    93   0.242907E+04   0.632858E+00  -0.181583E+02   0.449614E+07   0.711813E+04
    94   0.245837E+04   0.647391E+00  -0.187787E+02   0.446740E+07   0.702643E+04
    95   0.248795E+04   0.661862E+00  -0.194031E+02   0.443880E+07   0.693684E+04
    96   0.251751E+04   0.676257E+00  -0.200308E+02   0.441033E+07   0.684928E+04
    97   0.254749E+04   0.690562E+00  -0.206611E+02   0.438200E+07   0.676368E+04
    98   0.257769E+04   0.704769E+00  -0.212918E+02   0.435382E+07   0.667998E+04
    99   0.260794E+04   0.718843E+00  -0.219259E+02   0.432577E+07   0.659810E+04
   100   0.263847E+04   0.732785E+00  -0.225590E+02   0.429788E+07   0.651797E+04
   101   0.266915E+04   0.746654E+00  -0.231941E+02   0.427014E+07   0.643952E+04
   102   0.270033E+04   0.760303E+00  -0.238290E+02   0.424255E+07   0.636267E+04
   103   0.273143E+04   0.773806E+00  -0.244644E+02   0.421511E+07   0.628737E+04
   104   0.276275E+04   0.787165E+00  -0.250976E+02   0.418784E+07   0.621352E+04
   105   0.279421E+04   0.800306E+00  -0.257298E+02   0.416073E+07   0.614108E+04
   106   0.282589E+04   0.813304E+00  -0.263605E+02   0.413379E+07   0.606996E+04
   107   0.285749E+04   0.826011E+00  -0.269882E+02   0.410702E+07   0.600008E+04
   108   0.288946E+04   0.838502E+00  -0.276137E+02   0.408042E+07   0.593140E+04
   109   0.292159E+04   0.850704E+00  -0.282355E+02   0.405399E+07   0.586382E+04
   110   0.295379E+04   0.862617E+00  -0.288522E+02   0.402775E+07   0.579728E+04
   111   0.298614E+04   0.874316E+00  -0.294653E+02   0.400168E+07   0.573171E+04
   112   0.301865E+04   0.885728E+00  -0.300740E+02   0.397580E+07   0.566711E+04
   113   0.305137E+04   0.896852E+00  -0.306768E+02   0.395010E+07   0.560345E+04
   114   0.308418E+04   0.907615E+00  -0.312730E+02   0.392458E+07   0.554073E+04
   115   0.311720E+04   0.918166E+00  -0.318626E+02   0.389925E+07   0.547893E+04
   116   0.315023E+04   0.928281E+00  -0.324447E+02   0.387409E+07   0.541804E+04
   117   0.318355E+04   0.938037E+00  -0.330187E+02   0.384912E+07   0.535806E+04
   118   0.321701E+04   0.947581E+00  -0.335853E+02   0.382434E+07   0.529897E+04
   119   0.325046E+04   0.956766E+00  -0.341421E+02   0.379973E+07   0.524076E+04
   120   0.328406E+04   0.965442E+00  -0.346892E+02   0.377531E+07   0.518342E+04
   121   0.331765E+04   0.973909E+00  -0.352267E+02   0.375107E+07   0.512695E+04
   122   0.335131E+04   0.981868E+00  -0.357536E+02   0.372701E+07   0.507132E+04
   123   0.338503E+04   0.989394E+00  -0.362700E+02   0.370313E+07   0.501653E+04
   124   0.341881E+04   0.996562E+00  -0.367730E+02   0.367944E+07   0.496256E+04
   125   0.345258E+04   0.100330E+01  -0.372646E+02   0.365593E+07   0.490942E+04
   126   0.348641E+04   0.100968E+01  -0.377442E+02   0.363261E+07   0.485707E+04
   127   0.352023E+04   0.101555E+01  -0.382111E+02   0.360946E+07   0.480553E+04
   128   0.355402E+04   0.102107E+01  -0.386643E+02   0.358650E+07   0.475477E+04
   129   0.358788E+04   0.102608E+01  -0.391032E+02   0.356373E+07   0.470478E+04
   130   0.362172E+04   0.103059E+01  -0.395271E+02   0.354114E+07   0.465555E+04
   131   0.365553E+04   0.103474E+01  -0.399374E+02   0.351873E+07   0.460707E+04
   132   0.368940E+04   0.103839E+01  -0.403311E+02   0.349650E+07   0.455934E+04
   133   0.372318E+04   0.104160E+01  -0.407105E+02   0.347446E+07   0.451233E+04
   134   0.375695E+04   0.104439E+01  -0.410712E+02   0.345259E+07   0.446603E+04
   135   0.379070E+04   0.104668E+01  -0.414162E+02   0.343090E+07   0.442044E+04
   136   0.382428E+04   0.104846E+01  -0.417419E+02   0.340939E+07   0.437553E+04
   137   0.385786E+04   0.104982E+01  -0.420505E+02   0.338806E+07   0.433130E+04
   138   0.389135E+04   0.105067E+01  -0.423405E+02   0.336690E+07   0.428773E+04
   139   0.392460E+04   0.105117E+01  -0.426113E+02   0.334592E+07   0.424481E+04
   140   0.395792E+04   0.105109E+01  -0.428635E+02   0.332511E+07   0.420253E+04
   141   0.399101E+04   0.105052E+01  -0.430952E+02   0.330447E+07   0.416088E+04
   142   0.402410E+04   0.104952E+01  -0.433069E+02   0.328401E+07   0.411984E+04
   143   0.405710E+04   0.104809E+01  -0.434988E+02   0.326371E+07   0.407940E+04
   144   0.408988E+04   0.104616E+01  -0.436701E+02   0.324358E+07   0.403954E+04
   145   0.412251E+04   0.104388E+01  -0.438202E+02   0.322362E+07   0.400026E+04
   146   0.415520E+04   0.104102E+01  -0.439491E+02   0.320382E+07   0.396155E+04
   147   0.418753E+04   0.103782E+01  -0.440553E+02   0.318419E+07   0.392338E+04
   148   0.421971E+04   0.103411E+01  -0.441403E+02   0.316472E+07   0.388575E+04
   149   0.425182E+04   0.102999E+01  -0.442028E+02   0.314541E+07   0.384864E+04
