0.100000E+02 0.312061E-06 0.487609E-06 0.654598E-06 0.183030E-06 0.254716E-06 0.360081E-06
0.110000E+02 0.357971E-06 0.569504E-06 0.773596E-06 0.201793E-06 0.284419E-06 0.407048E-06
0.120000E+02 0.404310E-06 0.654056E-06 0.898338E-06 0.219944E-06 0.313489E-06 0.453944E-06
0.130000E+02 0.451083E-06 0.740958E-06 0.102826E-05 0.237604E-06 0.341944E-06 0.500665E-06
0.140000E+02 0.497833E-06 0.829425E-06 0.116231E-05 0.254664E-06 0.369577E-06 0.546889E-06
0.150000E+02 0.543795E-06 0.918381E-06 0.129913E-05 0.270894E-06 0.396071E-06 0.592197E-06
0.160000E+02 0.588592E-06 0.100717E-05 0.143780E-05 0.286242E-06 0.421312E-06 0.636386E-06
0.170000E+02 0.632584E-06 0.109594E-05 0.157822E-05 0.300950E-06 0.445502E-06 0.679584E-06
0.180000E+02 0.676141E-06 0.118484E-05 0.172033E-05 0.315228E-06 0.468822E-06 0.721911E-06
0.190000E+02 0.719349E-06 0.127378E-05 0.186380E-05 0.329158E-06 0.491327E-06 0.763365E-06
0.200000E+02 0.761958E-06 0.136232E-05 0.200798E-05 0.342683E-06 0.512942E-06 0.803819E-06
0.210000E+02 0.803615E-06 0.144995E-05 0.215215E-05 0.355717E-06 0.533560E-06 0.843121E-06
0.220000E+02 0.844224E-06 0.153644E-05 0.229588E-05 0.368268E-06 0.553185E-06 0.881237E-06
0.230000E+02 0.883804E-06 0.162169E-05 0.243891E-05 0.380381E-06 0.571863E-06 0.918185E-06
0.240000E+02 0.922503E-06 0.170579E-05 0.258118E-05 0.392138E-06 0.589685E-06 0.954037E-06
0.250000E+02 0.960525E-06 0.178887E-05 0.272268E-05 0.403633E-06 0.606760E-06 0.988882E-06
0.260000E+02 0.998115E-06 0.187114E-05 0.286351E-05 0.414964E-06 0.623203E-06 0.102283E-05
0.270000E+02 0.103536E-05 0.195264E-05 0.300359E-05 0.426171E-06 0.639066E-06 0.105591E-05
0.280000E+02 0.107221E-05 0.203331E-05 0.314276E-05 0.437251E-06 0.654364E-06 0.108815E-05
0.290000E+02 0.110840E-05 0.211281E-05 0.328058E-05 0.448128E-06 0.669031E-06 0.111946E-05
0.300000E+02 0.114368E-05 0.219091E-05 0.341675E-05 0.458745E-06 0.683029E-06 0.114981E-05
0.310000E+02 0.117796E-05 0.226749E-05 0.355107E-05 0.469089E-06 0.696360E-06 0.117920E-05
0.320000E+02 0.121146E-05 0.234280E-05 0.368375E-05 0.479238E-06 0.709127E-06 0.120774E-05
0.330000E+02 0.124446E-05 0.241714E-05 0.381506E-05 0.489283E-06 0.721447E-06 0.123556E-05
0.340000E+02 0.127720E-05 0.249079E-05 0.394524E-05 0.499297E-06 0.733415E-06 0.126276E-05
0.350000E+02 0.130969E-05 0.256378E-05 0.407431E-05 0.509291E-06 0.745060E-06 0.128939E-05
0.360000E+02 0.134189E-05 0.263609E-05 0.420222E-05 0.519253E-06 0.756388E-06 0.131544E-05
0.370000E+02 0.137361E-05 0.270755E-05 0.432878E-05 0.529136E-06 0.767366E-06 0.134091E-05
0.380000E+02 0.140470E-05 0.277798E-05 0.445381E-05 0.538900E-06 0.777964E-06 0.136577E-05
