0.100000E+02 0.230207E-06 0.461668E-06 0.296846E-06
0.112202E+02 0.274987E-06 0.567731E-06 0.357899E-06
0.125893E+02 0.326725E-06 0.695067E-06 0.429278E-06
0.141254E+02 0.385937E-06 0.846822E-06 0.511994E-06
0.158489E+02 0.453121E-06 0.102638E-05 0.607059E-06
0.177828E+02 0.528670E-06 0.123726E-05 0.715381E-06
0.199526E+02 0.612695E-06 0.148282E-05 0.837561E-06
0.223872E+02 0.705212E-06 0.176644E-05 0.974063E-06
0.251189E+02 0.805852E-06 0.209104E-05 0.112488E-05
0.281838E+02 0.913976E-06 0.245911E-05 0.128960E-05
0.316228E+02 0.102857E-05 0.287235E-05 0.146725E-05
0.354813E+02 0.114824E-05 0.333142E-05 0.165620E-05
0.398107E+02 0.127128E-05 0.383570E-05 0.185420E-05
0.446684E+02 0.139579E-05 0.438298E-05 0.205839E-05
0.501187E+02 0.151974E-05 0.496915E-05 0.226544E-05
0.562341E+02 0.164127E-05 0.558818E-05 0.247194E-05
0.630957E+02 0.175875E-05 0.623206E-05 0.267470E-05
0.707946E+02 0.187074E-05 0.689112E-05 0.287107E-05
0.794328E+02 0.197585E-05 0.755476E-05 0.305886E-05
0.891251E+02 0.207248E-05 0.821234E-05 0.323583E-05
0.100000E+03 0.215896E-05 0.885417E-05 0.339904E-05
0.112202E+03 0.223400E-05 0.947196E-05 0.354524E-05
0.125893E+03 0.229722E-05 0.100584E-04 0.367221E-05
0.141254E+03 0.234870E-05 0.106057E-04 0.377969E-05
0.158489E+03 0.238828E-05 0.111050E-04 0.386796E-05
0.177828E+03 0.241577E-05 0.115474E-04 0.393631E-05
0.199526E+03 0.243157E-05 0.119277E-04 0.398433E-05
0.223872E+03 0.243627E-05 0.122451E-04 0.401302E-05
0.251189E+03 0.243036E-05 0.125001E-04 0.402317E-05
0.281838E+03 0.241454E-05 0.126912E-04 0.401553E-05
0.316228E+03 0.238954E-05 0.128182E-04 0.399137E-05
0.354813E+03 0.235614E-05 0.128843E-04 0.395184E-05
0.398107E+03 0.231512E-05 0.128921E-04 0.389823E-05
0.446684E+03 0.226730E-05 0.128445E-04 0.383187E-05
0.501187E+03 0.221346E-05 0.127457E-04 0.375408E-05
0.562341E+03 0.215439E-05 0.125993E-04 0.366619E-05
0.630957E+03 0.209086E-05 0.124096E-04 0.356950E-05
0.707946E+03 0.202359E-05 0.121809E-04 0.346526E-05
0.794328E+03 0.195331E-05 0.119174E-04 0.335473E-05
0.891251E+03 0.188067E-05 0.116233E-04 0.323906E-05
0.100000E+04 0.180630E-05 0.113027E-04 0.311938E-05
0.112202E+04 0.173081E-05 0.109598E-04 0.299673E-05
0.125893E+04 0.165473E-05 0.105982E-04 0.287211E-05
0.141254E+04 0.157857E-05 0.102217E-04 0.274643E-05
0.158489E+04 0.150278E-05 0.983389E-05 0.262053E-05
0.177828E+04 0.142777E-05 0.943792E-05 0.249516E-05
0.199526E+04 0.135390E-05 0.903689E-05 0.237102E-05
0.223872E+04 0.128148E-05 0.863361E-05 0.224870E-05
0.251189E+04 0.121080E-05 0.823068E-05 0.212874E-05
0.281838E+04 0.114207E-05 0.783042E-05 0.201160E-05
