 0.105000000E+03 0.210775829E-83 0.213405251E-83 0.211015360E-82
 0.106000000E+03 0.206563291E-83 0.209136942E-83 0.206797979E-82
 0.107000000E+03 0.202474700E-83 0.205002097E-83 0.202705476E-82
 0.108000000E+03 0.198505861E-83 0.200983426E-83 0.198732343E-82
 0.109000000E+03 0.194651780E-83 0.197086696E-83 0.194874658E-82
 0.110000000E+03 0.190906468E-83 0.193287741E-83 0.191124642E-82
 0.111000000E+03 0.187265583E-83 0.189602367E-83 0.187479934E-82
 0.112000000E+03 0.183725815E-83 0.186021475E-83 0.183936646E-82
 0.113000000E+03 0.180284238E-83 0.182536737E-83 0.180491324E-82
 0.114000000E+03 0.176937947E-83 0.179154197E-83 0.177141946E-82
 0.115000000E+03 0.173684933E-83 0.175859441E-83 0.173885253E-82
 0.116000000E+03 0.170522991E-83 0.172657061E-83 0.170719756E-82
 0.117000000E+03 0.167448970E-83 0.169546661E-83 0.167642563E-82
 0.118000000E+03 0.164459374E-83 0.166525141E-83 0.164650233E-82
 0.119000000E+03 0.161551027E-83 0.163583581E-83 0.161738999E-82
 0.120000000E+03 0.158721506E-83 0.160718411E-83 0.158906327E-82
 0.121000000E+03 0.155968856E-83 0.157934319E-83 0.156150926E-82
 0.122000000E+03 0.153289761E-83 0.155218441E-83 0.153468548E-82
 0.123000000E+03 0.150680158E-83 0.152580195E-83 0.150856472E-82
 0.124000000E+03 0.148137328E-83 0.150002389E-83 0.148310524E-82
 0.125000000E+03 0.145658629E-83 0.147493819E-83 0.145829205E-82
 0.126000000E+03 0.143241048E-83 0.145042769E-83 0.143408638E-82
 0.127000000E+03 0.140882427E-83 0.142658582E-83 0.141047806E-82
 0.128000000E+03 0.138580600E-83 0.140323960E-83 0.138743034E-82
 0.129000000E+03 0.136333358E-83 0.138045575E-83 0.136493005E-82
 0.130000000E+03 0.134138462E-83 0.135822779E-83 0.134295647E-82
 0.131000000E+03 0.131993613E-83 0.133650671E-83 0.132148385E-82
 0.132000000E+03 0.129897473E-83 0.131528784E-83 0.130049969E-82
