    0.26576E-02    0.91933E+04
    0.27113E-02    0.93478E+04
    0.27660E-02    0.95042E+04
    0.28219E-02    0.96625E+04
    0.28789E-02    0.98229E+04
    0.29371E-02    0.99852E+04
    0.29964E-02    0.10150E+05
    0.30569E-02    0.10316E+05
    0.31187E-02    0.10484E+05
    0.31817E-02    0.10654E+05
    0.32460E-02    0.10826E+05
    0.33115E-02    0.11000E+05
    0.33784E-02    0.11176E+05
    0.34467E-02    0.11354E+05
    0.35163E-02    0.11534E+05
    0.35874E-02    0.11716E+05
    0.36598E-02    0.11899E+05
    0.37338E-02    0.12085E+05
    0.38092E-02    0.12272E+05
    0.38861E-02    0.12461E+05
    0.39646E-02    0.12651E+05
    0.40447E-02    0.12843E+05
    0.41264E-02    0.13037E+05
    0.42098E-02    0.13233E+05
    0.42948E-02    0.13430E+05
    0.43816E-02    0.13629E+05
    0.44701E-02    0.13829E+05
    0.45604E-02    0.14031E+05
    0.46525E-02    0.14234E+05
    0.47465E-02    0.14439E+05
    0.48424E-02    0.14644E+05
    0.49402E-02    0.14851E+05
    0.50400E-02    0.15060E+05
    0.51419E-02    0.15269E+05
    0.52457E-02    0.15479E+05
    0.53517E-02    0.15690E+05
    0.54598E-02    0.15903E+05
    0.55701E-02    0.16116E+05
    0.56826E-02    0.16329E+05
    0.57974E-02    0.16544E+05
    0.59145E-02    0.16759E+05
    0.60340E-02    0.16974E+05
    0.61559E-02    0.17190E+05
    0.62803E-02    0.17406E+05
    0.64072E-02    0.17622E+05
    0.65366E-02    0.17838E+05
    0.66686E-02    0.18054E+05
    0.68033E-02    0.18269E+05
    0.69408E-02    0.18485E+05
    0.70810E-02    0.18700E+05
    0.72240E-02    0.18914E+05
    0.73700E-02    0.19128E+05
    0.75189E-02    0.19341E+05
    0.76708E-02    0.19552E+05
    0.78257E-02    0.19763E+05
    0.79838E-02    0.19972E+05
    0.81451E-02    0.20180E+05
    0.83096E-02    0.20386E+05
    0.84775E-02    0.20590E+05
    0.86488E-02    0.20792E+05
    0.88235E-02    0.20992E+05
    0.90017E-02    0.21189E+05
    0.91836E-02    0.21384E+05
