     2    0.16203E+04    0.63051E-01    0.14771E-05    0.29693E+01
     3    0.14192E+04    0.96734E-01    0.29548E-05    0.40270E+01
     4    0.12641E+04    0.10015E+00    0.49259E-05    0.42338E+01
     5    0.11515E+04    0.80889E-01    0.73910E-05    0.39316E+01
     6    0.10710E+04    0.54037E-01    0.10351E-04    0.33937E+01
     7    0.10139E+04    0.31427E-01    0.13807E-04    0.27940E+01
     8    0.97303E+03    0.17622E-01    0.17760E-04    0.22403E+01
     9    0.94434E+03    0.11387E-01    0.22212E-04    0.17828E+01
    10    0.92481E+03    0.92623E-02    0.27163E-04    0.14440E+01
    11    0.91172E+03    0.83741E-02    0.32615E-04    0.12303E+01
    12    0.90454E+03    0.75258E-02    0.38571E-04    0.11336E+01
    13    0.90116E+03    0.64621E-02    0.45031E-04    0.11205E+01
    14    0.90028E+03    0.57495E-02    0.51998E-04    0.11537E+01
    15    0.90183E+03    0.54812E-02    0.59472E-04    0.12115E+01
    16    0.90590E+03    0.55746E-02    0.67457E-04    0.12783E+01
    17    0.91233E+03    0.59369E-02    0.75953E-04    0.13450E+01
    18    0.92017E+03    0.63259E-02    0.84964E-04    0.14064E+01
    19    0.93015E+03    0.67613E-02    0.94490E-04    0.14591E+01
    20    0.94052E+03    0.73757E-02    0.10453E-03    0.14993E+01
    21    0.95151E+03    0.82250E-02    0.11510E-03    0.15338E+01
    22    0.96332E+03    0.94060E-02    0.12618E-03    0.15702E+01
    23    0.97570E+03    0.10897E-01    0.13778E-03    0.16125E+01
    24    0.98868E+03    0.12624E-01    0.14991E-03    0.16621E+01
    25    0.10022E+04    0.14601E-01    0.16257E-03    0.17146E+01
    26    0.10161E+04    0.16813E-01    0.17575E-03    0.17660E+01
    27    0.10306E+04    0.19228E-01    0.18946E-03    0.18133E+01
    28    0.10455E+04    0.21835E-01    0.20370E-03    0.18550E+01
    29    0.10609E+04    0.24640E-01    0.21846E-03    0.18876E+01
    30    0.10768E+04    0.27658E-01    0.23376E-03    0.19074E+01
    31    0.10929E+04    0.30904E-01    0.24959E-03    0.19151E+01
    32    0.11092E+04    0.34381E-01    0.26595E-03    0.19116E+01
    33    0.11260E+04    0.38088E-01    0.28284E-03    0.18938E+01
