  0.767417E-05  0.162590E+08  0.162590E+08  0.216671E+08  0.216667E+08  0.000000E+00  0.162590E+08  0.162590E+08  0.162653E+08 -0.390314E+00  0.547881E+07  0.547881E+07  0.571717E+01
  0.847558E-05  0.162590E+08  0.162590E+08  0.216645E+08  0.216641E+08  0.000000E+00  0.162590E+08  0.162590E+08  0.162653E+08 -0.390314E+00  0.547880E+07  0.547880E+07  0.631402E+01
  0.936069E-05  0.162590E+08  0.162590E+08  0.216614E+08  0.216609E+08  0.000000E+00  0.162590E+08  0.162590E+08  0.162653E+08 -0.390313E+00  0.547880E+07  0.547880E+07  0.697314E+01
  0.103382E-04  0.162590E+08  0.162590E+08  0.216576E+08  0.216570E+08  0.000000E+00  0.162590E+08  0.162590E+08  0.162653E+08 -0.390313E+00  0.547880E+07  0.547880E+07  0.770099E+01
  0.114179E-04  0.162590E+08  0.162590E+08  0.216530E+08  0.216522E+08  0.000000E+00  0.162590E+08  0.162590E+08  0.162653E+08 -0.390313E+00  0.547880E+07  0.547880E+07  0.850474E+01
  0.126102E-04  0.162590E+08  0.162590E+08  0.216473E+08  0.216463E+08  0.000000E+00  0.162590E+08  0.162590E+08  0.162653E+08 -0.390312E+00  0.547879E+07  0.547879E+07  0.939225E+01
  0.139271E-04  0.162590E+08  0.162590E+08  0.216404E+08  0.216392E+08  0.000000E+00  0.162590E+08  0.162590E+08  0.162653E+08 -0.390312E+00  0.547879E+07  0.547879E+07  0.103722E+02
  0.153815E-04  0.162590E+08  0.162590E+08  0.216320E+08  0.216305E+08  0.000000E+00  0.162590E+08  0.162590E+08  0.162653E+08 -0.390311E+00  0.547878E+07  0.547878E+07  0.114543E+02
  0.169878E-04  0.162589E+08  0.162589E+08  0.216218E+08  0.216199E+08  0.000000E+00  0.162589E+08  0.162589E+08  0.162652E+08 -0.390311E+00  0.547877E+07  0.547877E+07  0.126489E+02
  0.187619E-04  0.162589E+08  0.162589E+08  0.216093E+08  0.216070E+08  0.000000E+00  0.162589E+08  0.162589E+08  0.162652E+08 -0.390310E+00  0.547876E+07  0.547876E+07  0.139677E+02
  0.207212E-04  0.162589E+08  0.162589E+08  0.215940E+08  0.215913E+08  0.000000E+00  0.162589E+08  0.162589E+08  0.162652E+08 -0.390309E+00  0.547875E+07  0.547875E+07  0.154235E+02
  0.228851E-04  0.162588E+08  0.162588E+08  0.215754E+08  0.215721E+08  0.000000E+00  0.162588E+08  0.162588E+08  0.162651E+08 -0.390308E+00  0.547874E+07  0.547874E+07  0.170304E+02
  0.252750E-04  0.162588E+08  0.162588E+08  0.215528E+08  0.215488E+08  0.000000E+00  0.162588E+08  0.162588E+08  0.162651E+08 -0.390306E+00  0.547872E+07  0.547872E+07  0.188038E+02
  0.279144E-04  0.162587E+08  0.162587E+08  0.215252E+08  0.215203E+08  0.000000E+00  0.162587E+08  0.162587E+08  0.162650E+08 -0.390304E+00  0.547870E+07  0.547870E+07  0.207606E+02
  0.308296E-04  0.162587E+08  0.162587E+08  0.214916E+08  0.214856E+08  0.000000E+00  0.162587E+08  0.162587E+08  0.162649E+08 -0.390302E+00  0.547868E+07  0.547867E+07  0.229194E+02
  0.340491E-04  0.162586E+08  0.162586E+08  0.214506E+08  0.214434E+08  0.000000E+00  0.162586E+08  0.162586E+08  0.162648E+08 -0.390299E+00  0.547865E+07  0.547864E+07  0.253003E+02
  0.376048E-04  0.162585E+08  0.162585E+08  0.214008E+08  0.213920E+08  0.000000E+00  0.162585E+08  0.162585E+08  0.162647E+08 -0.390296E+00  0.547861E+07  0.547861E+07  0.279257E+02
  0.415319E-04  0.162583E+08  0.162583E+08  0.213401E+08  0.213294E+08  0.000000E+00  0.162583E+08  0.162583E+08  0.162646E+08 -0.390292E+00  0.547856E+07  0.547856E+07  0.308193E+02
  0.458691E-04  0.162582E+08  0.162582E+08  0.212663E+08  0.212533E+08  0.000000E+00  0.162582E+08  0.162582E+08  0.162644E+08 -0.390287E+00  0.547851E+07  0.547850E+07  0.340074E+02
  0.506592E-04  0.162580E+08  0.162580E+08  0.211766E+08  0.211608E+08  0.000000E+00  0.162580E+08  0.162580E+08  0.162641E+08 -0.390281E+00  0.547844E+07  0.547844E+07  0.375178E+02
  0.559496E-04  0.162578E+08  0.162577E+08  0.210677E+08  0.210484E+08  0.000000E+00  0.162577E+08  0.162577E+08  0.162639E+08 -0.390273E+00  0.547836E+07  0.547835E+07  0.413808E+02
  0.617924E-04  0.162575E+08  0.162574E+08  0.209355E+08  0.209121E+08  0.000000E+00  0.162575E+08  0.162575E+08  0.162636E+08 -0.390264E+00  0.547826E+07  0.547825E+07  0.456282E+02
  0.682454E-04  0.162571E+08  0.162571E+08  0.207753E+08  0.207469E+08  0.000000E+00  0.162571E+08  0.162571E+08  0.162632E+08 -0.390253E+00  0.547814E+07  0.547813E+07  0.502937E+02
  0.753723E-04  0.162567E+08  0.162566E+08  0.205813E+08  0.205469E+08  0.000000E+00  0.162567E+08  0.162567E+08  0.162627E+08 -0.390239E+00  0.547799E+07  0.547797E+07  0.554123E+02
  0.832435E-04  0.162562E+08  0.162561E+08  0.203469E+08  0.203053E+08  0.000000E+00  0.162562E+08  0.162562E+08  0.162621E+08 -0.390223E+00  0.547781E+07  0.547779E+07  0.610197E+02
  0.919366E-04  0.162555E+08  0.162554E+08  0.200643E+08  0.200141E+08  0.000000E+00  0.162555E+08  0.162555E+08  0.162614E+08 -0.390203E+00  0.547758E+07  0.547757E+07  0.671517E+02
