    66    0.16638E+04    0.26039E+00   -0.37108E+01    0.58699E+07    0.10267E+05
    67    0.16854E+04    0.27186E+00   -0.40908E+01    0.58409E+07    0.10092E+05
    68    0.17074E+04    0.28357E+00   -0.44806E+01    0.58117E+07    0.99211E+04
    69    0.17296E+04    0.29549E+00   -0.48778E+01    0.57822E+07    0.97551E+04
    70    0.17521E+04    0.30765E+00   -0.52840E+01    0.57526E+07    0.95951E+04
    71    0.17747E+04    0.32006E+00   -0.57010E+01    0.57228E+07    0.94419E+04
    72    0.17975E+04    0.33268E+00   -0.61304E+01    0.56929E+07    0.92952E+04
    73    0.18204E+04    0.34547E+00   -0.65727E+01    0.56628E+07    0.91542E+04
    74    0.18436E+04    0.35843E+00   -0.70272E+01    0.56325E+07    0.90184E+04
    75    0.18670E+04    0.37157E+00   -0.74922E+01    0.56022E+07    0.88870E+04
    76    0.18907E+04    0.38487E+00   -0.79674E+01    0.55716E+07    0.87595E+04
    77    0.19147E+04    0.39835E+00   -0.84526E+01    0.55410E+07    0.86353E+04
    78    0.19391E+04    0.41202E+00   -0.89494E+01    0.55103E+07    0.85142E+04
    79    0.19636E+04    0.42582E+00   -0.94542E+01    0.54796E+07    0.83956E+04
    80    0.19884E+04    0.43976E+00   -0.99685E+01    0.54487E+07    0.82793E+04
    81    0.20134E+04    0.45380E+00   -0.10493E+02    0.54179E+07    0.81649E+04
    82    0.20387E+04    0.46794E+00   -0.11027E+02    0.53870E+07    0.80521E+04
    83    0.20641E+04    0.48218E+00   -0.11569E+02    0.53562E+07    0.79407E+04
    84    0.20897E+04    0.49650E+00   -0.12118E+02    0.53254E+07    0.78305E+04
    85    0.21155E+04    0.51087E+00   -0.12676E+02    0.52946E+07    0.77214E+04
    86    0.21414E+04    0.52532E+00   -0.13240E+02    0.52638E+07    0.76132E+04
    87    0.21678E+04    0.53981E+00   -0.13811E+02    0.52332E+07    0.75061E+04
    88    0.21942E+04    0.55435E+00   -0.14388E+02    0.52026E+07    0.74007E+04
    89    0.22209E+04    0.56895E+00   -0.14972E+02    0.51720E+07    0.72973E+04
    90    0.22478E+04    0.58355E+00   -0.15560E+02    0.51416E+07    0.71962E+04
    91    0.22749E+04    0.59815E+00   -0.16154E+02    0.51113E+07    0.70979E+04
    92    0.23022E+04    0.61274E+00   -0.16753E+02    0.50810E+07    0.70023E+04
    93    0.23298E+04    0.62731E+00   -0.17356E+02    0.50508E+07    0.69093E+04
    94    0.23575E+04    0.64183E+00   -0.17963E+02    0.50208E+07    0.68188E+04
    95    0.23855E+04    0.65630E+00   -0.18573E+02    0.49909E+07    0.67306E+04
    96    0.24134E+04    0.67069E+00   -0.19187E+02    0.49611E+07    0.66448E+04
    97    0.24418E+04    0.68501E+00   -0.19804E+02    0.49313E+07    0.65611E+04
    98    0.24704E+04    0.69924E+00   -0.20421E+02    0.49018E+07    0.64795E+04
    99    0.24990E+04    0.71334E+00   -0.21042E+02    0.48723E+07    0.63999E+04
   100    0.25280E+04    0.72732E+00   -0.21662E+02    0.48430E+07    0.63222E+04
   101    0.25571E+04    0.74123E+00   -0.22284E+02    0.48138E+07    0.62463E+04
   102    0.25867E+04    0.75493E+00   -0.22906E+02    0.47847E+07    0.61720E+04
   103    0.26162E+04    0.76850E+00   -0.23529E+02    0.47558E+07    0.60993E+04
   104    0.26459E+04    0.78193E+00   -0.24151E+02    0.47270E+07    0.60281E+04
   105    0.26758E+04    0.79515E+00   -0.24772E+02    0.46984E+07    0.59583E+04
   106    0.27059E+04    0.80823E+00   -0.25391E+02    0.46699E+07    0.58897E+04
   107    0.27359E+04    0.82103E+00   -0.26009E+02    0.46416E+07    0.58224E+04
   108    0.27663E+04    0.83363E+00   -0.26624E+02    0.46135E+07    0.57560E+04
   109    0.27969E+04    0.84594E+00   -0.27237E+02    0.45855E+07    0.56907E+04
   110    0.28275E+04    0.85798E+00   -0.27845E+02    0.45577E+07    0.56262E+04
   111    0.28583E+04    0.86981E+00   -0.28450E+02    0.45300E+07    0.55625E+04
   112    0.28892E+04    0.88136E+00   -0.29051E+02    0.45025E+07    0.54996E+04
   113    0.29204E+04    0.89263E+00   -0.29647E+02    0.44752E+07    0.54375E+04
   114    0.29516E+04    0.90355E+00   -0.30237E+02    0.44481E+07    0.53761E+04
   115    0.29831E+04    0.91427E+00   -0.30821E+02    0.44211E+07    0.53155E+04
   116    0.30145E+04    0.92455E+00   -0.31399E+02    0.43944E+07    0.52558E+04
   117    0.30462E+04    0.93449E+00   -0.31969E+02    0.43677E+07    0.51969E+04
   118    0.30781E+04    0.94422E+00   -0.32532E+02    0.43413E+07    0.51388E+04
   119    0.31100E+04    0.95360E+00   -0.33086E+02    0.43151E+07    0.50815E+04
   120    0.31420E+04    0.96249E+00   -0.33631E+02    0.42890E+07    0.50251E+04
   121    0.31741E+04    0.97116E+00   -0.34167E+02    0.42631E+07    0.49695E+04
   122    0.32061E+04    0.97934E+00   -0.34694E+02    0.42374E+07    0.49148E+04
   123    0.32383E+04    0.98710E+00   -0.35210E+02    0.42118E+07    0.48609E+04
   124    0.32705E+04    0.99450E+00   -0.35714E+02    0.41864E+07    0.48079E+04
   125    0.33027E+04    0.10015E+01   -0.36207E+02    0.41612E+07    0.47558E+04
   126    0.33350E+04    0.10081E+01   -0.36689E+02    0.41362E+07    0.47046E+04
   127    0.33673E+04    0.10142E+01   -0.37159E+02    0.41114E+07    0.46544E+04
   128    0.33995E+04    0.10200E+01   -0.37616E+02    0.40868E+07    0.46050E+04
   129    0.34318E+04    0.10253E+01   -0.38059E+02    0.40623E+07    0.45565E+04
   130    0.34641E+04    0.10301E+01   -0.38488E+02    0.40380E+07    0.45090E+04
   131    0.34964E+04    0.10345E+01   -0.38904E+02    0.40139E+07    0.44624E+04
   132    0.35288E+04    0.10384E+01   -0.39304E+02    0.39900E+07    0.44167E+04
   133    0.35610E+04    0.10420E+01   -0.39691E+02    0.39662E+07    0.43718E+04
   134    0.35933E+04    0.10450E+01   -0.40059E+02    0.39427E+07    0.43279E+04
   135    0.36255E+04    0.10476E+01   -0.40413E+02    0.39193E+07    0.42847E+04
   136    0.36576E+04    0.10497E+01   -0.40749E+02    0.38961E+07    0.42423E+04
   137    0.36897E+04    0.10514E+01   -0.41067E+02    0.38731E+07    0.42007E+04
   138    0.37217E+04    0.10526E+01   -0.41369E+02    0.38502E+07    0.41598E+04
   139    0.37535E+04    0.10534E+01   -0.41651E+02    0.38275E+07    0.41195E+04
   140    0.37854E+04    0.10536E+01   -0.41917E+02    0.38050E+07    0.40800E+04
   141    0.38170E+04    0.10533E+01   -0.42162E+02    0.37827E+07    0.40410E+04
   142    0.38487E+04    0.10527E+01   -0.42388E+02    0.37605E+07    0.40027E+04
   143    0.38802E+04    0.10515E+01   -0.42595E+02    0.37385E+07    0.39649E+04
   144    0.39116E+04    0.10499E+01   -0.42783E+02    0.37167E+07    0.39276E+04
   145    0.39429E+04    0.10480E+01   -0.42950E+02    0.36951E+07    0.38909E+04
   146    0.39742E+04    0.10454E+01   -0.43097E+02    0.36736E+07    0.38546E+04
   147    0.40052E+04    0.10425E+01   -0.43222E+02    0.36523E+07    0.38187E+04
   148    0.40360E+04    0.10391E+01   -0.43327E+02    0.36311E+07    0.37833E+04
   149    0.40668E+04    0.10353E+01   -0.43410E+02    0.36101E+07    0.37482E+04
   150    0.40973E+04    0.10311E+01   -0.43469E+02    0.35893E+07    0.37135E+04
   151    0.41277E+04    0.10265E+01   -0.43508E+02    0.35686E+07    0.36791E+04
   152    0.41578E+04    0.10214E+01   -0.43524E+02    0.35481E+07    0.36450E+04
   153    0.41877E+04    0.10159E+01   -0.43516E+02    0.35278E+07    0.36112E+04
   154    0.42175E+04    0.10101E+01   -0.43485E+02    0.35076E+07    0.35778E+04
   155    0.42471E+04    0.10039E+01   -0.43431E+02    0.34876E+07    0.35447E+04
   156    0.42763E+04    0.99735E+00   -0.43354E+02    0.34677E+07    0.35119E+04
   157    0.43055E+04    0.99044E+00   -0.43253E+02    0.34480E+07    0.34794E+04
   158    0.43344E+04    0.98323E+00   -0.43127E+02    0.34285E+07    0.34472E+04
   159    0.43630E+04    0.97559E+00   -0.42978E+02    0.34091E+07    0.34154E+04
   160    0.43914E+04    0.96766E+00   -0.42804E+02    0.33898E+07    0.33839E+04
   161    0.44196E+04    0.95951E+00   -0.42605E+02    0.33707E+07    0.33527E+04
   162    0.44476E+04    0.95099E+00   -0.42383E+02    0.33518E+07    0.33219E+04
